Матрица доступов по разделам;;;;;;;;;;;
;;;;;;;;;;;
Сущность;Тип;Собственник агентства;Руководитель агентства;РОП;Маркетолог;Менеджер по продажам / риелтор;Специалист по закупке объектов;Специалист по документам / юрист;Финансовый сотрудник / бухгалтер;HR / специалист по обучению;Партнёрский риелтор
Рабочий стол;Раздел;ПР;ПР;ПР;ПР;ПР;ПР;ПР;ПР;ПР;ПР
CRM;Раздел;ПР;П;П;ПР;Р;П;О;ПР;—;О
Лиды;Раздел;ПР;П;П;П;О;О;—;—;—;—
Новостройки;Раздел;ПР;П;П;ПР;Р;Р;ПР;ПР;—;О
Объекты вторичного рынка;Раздел;ПР;П;П;ПР;Р;П;ПР;ПР;—;О
MLS;Раздел;ПР;П;П;ПР;Р;Р;ПР;ПР;—;Р
Команда;Раздел;ПР;П;О;—;—;—;—;—;П;—
Финансы;Раздел;ПР;П;ПР;—;О;—;—;П;—;—
Сообщество;Раздел;ПР;П;П;ПР;Р;О;—;—;О;Р
Настройки;Раздел;ПР;П;О;—;—;—;—;—;—;—
