Матрица доступов по отчётам;;;;;;;;;;;
Сущность;Тип;Собственник агентства;Руководитель агентства;РОП;Маркетолог;Менеджер по продажам / риелтор;Специалист по закупке объектов;Специалист по документам / юрист;Финансовый сотрудник / бухгалтер;HR / специалист по обучению;Партнёрский риелтор
Общий отчёт по лидам;Отчёт;ПР;ПР;ПР;ПР;—;—;—;—;—;—
Маркетинговый отчёт по лидам;Отчёт;ПР;ПР;ПР;ПР;—;—;—;—;—;—
Отчёт по сделкам;Отчёт;ПР;ПР;ПР;ПР;О;О;ПР;ПР;—;—
Отчёт по менеджеру / по команде / KPI / выполнению планов;Отчёт;ПР;ПР;ПР;—;О;О;О;—;О;—
Отчёт по объектам;Отчёт;ПР;ПР;ПР;ПР;О;ПР;ПР;ПР;—;О
Отчёт по MLS;Отчёт;ПР;ПР;ПР;ПР;О;О;ПР;ПР;—;О
Отчёт по финансам;Отчёт;ПР;ПР;О;—;—;—;—;ПР;—;—
Отчёт о работе партнёров по первичному рынку;Отчёт;ПР;ПР;ПР;—;—;О;—;ПР;—;—
Отчёт о работе MLS-партнёров по вторичному рынку;Отчёт;ПР;ПР;ПР;—;—;О;—;—;—;—
Отчёт о работе MLS-партнёров по аренде;Отчёт;ПР;ПР;ПР;—;—;—;—;—;—;—
Отчёт о формировании сообщества партнёров;Отчёт;ПР;ПР;ПР;ПР;—;—;—;—;О;—
